,review_id,compound_unclean
494,R1DFU91BV5G84B,0.5106
495,R2VCW5I41FYA4J,0.6369
496,R3SSB09MTWBRUT,0.8553
497,R1ZI00FBUH7YW6,-0.6911
498,R1SOKIHVJ8FXBU,0.9544
499,RYPRZUREU2JWX,0.6369
500,RJNVMW790748M,0.9478
501,RAFCTAPC9830B,0.9086
502,R2BCHX0J54A8K5,0.6239
503,R3JTPOGKH46SUZ,-0.25
504,R6SRC5UQKQ35G,0.8908
505,R7Y8T33D96FUF,0.4926
506,R1C2Z19870O0WV,-0.4005
507,R3739TFQ7WYJ24,0.7424
508,RF2QZQFNIYS6H,0.6249
509,RZLXY20JQX1V9,0.9508
510,R1IBBSGUCYP8YN,0.4588
511,R2X4NLO4C04JY3,0.743
512,RH22JVNFSKA12,0.9081
513,R2S8GCID09C1YU,0.7345
514,RPCCBZUWAT9UD,0.7269
515,R25CIHOV0T4XUG,0.9681
516,R2IKS6CBUYAS37,-0.1779
517,R7QJNC1V5AH30,0.9112
518,R12112IWR28BYQ,0.6539
519,R16009W5Q2WVKE,0.6369
520,R37PHIEBEYTY6O,0.4215
521,R2OO63WBYY7CCH,0.4689
522,RYRO84U8L2K57,0.6249
523,R3EI5IB677BYJ0,0.4404
524,RQGIAL2IV1BE4,0.6369
525,R1NISD8PJOSNO3,0.3382
526,R6IQH1HGZME8G,0.2709
527,R19PJLTTS7L2P0,0.9458
528,R1A39HBQ7NOY7S,0.7351
529,R2GB0IOS5RQP25,0.6249
530,R1HHMFKTBHVUVT,0.6249
531,R19D592U4AZL4C,0.7684
532,RRBBG4OT3LH98,0.0
533,R3ABYIW7WV7TLA,0.5719
534,R35CYJGY58UQK4,0.4404
535,R206V0UOVJAWZM,0.8016
536,RS82SJI5TJ1B5,0.3716
537,R3M1AP275CJEAJ,0.6808
538,RQULSFOBZYQAA,0.911
539,R13INF8V172YXV,0.6369
540,R2I8T0O0MJFACC,0.7078
541,RBRET1NT75K89,0.4927
542,R329LSZV6CLPNJ,0.3711
543,R35VUZSYZWBG7E,0.812
544,ROM7KRR3P548S,0.9971
545,R1BUF17R0E7EKZ,-0.4767
546,R23LTTQPRNA9DB,0.8689
547,RYIJF2DB70DUD,0.0
548,R1WU7BE1XQNEDL,0.3989
549,R1SNJ1CC6D0KTO,0.6696
550,R14M13Y9PKO04V,0.8866
551,R1NSMUR2GF6B7Q,0.3716
552,RVAF03GVD0ZHL,-0.4184
553,R1MRPSOCTXBDDY,0.807
554,R3VZ1IU1CU8HV4,0.7906
555,R3OYYR7CEU9LOH,0.5399
556,R161I3RB73YXT9,-0.6696
557,R1EBGO88JO2FKR,0.6588
558,R16HTD6JM257UL,0.9001
559,R3P4REBNZ2MZZ1,0.8332
560,R328WXXC6RW7UH,0.25
561,RERNFI0YN1T8J,0.6331
562,R196UUBCDMWV3M,0.0
563,R83VC4MCIN8XX,0.1779
564,R1IHZJNTR0IAZ7,0.6908
565,R24Y4156T4S1TA,0.802
566,RDAAFROUB12FY,0.6588
567,R3C0TOOPQXM2KI,0.9418
568,R2QW9203REL7F6,0.6369
569,RDGD4VXYFLEZ4,0.6407
570,R24H8MFE03ZCWL,0.0
571,R231O7X8KMCJ9E,0.7351
572,R24Y2VT63904QK,0.8402
573,R1YQ04V88XLD3J,0.7935
574,R1F0QBPFC5EKFK,0.1779
575,R37XWJ6FT5MNKM,0.3804
576,R3R8INGHOEJAND,0.659
577,R54BN14DKOZL7,0.9704
578,RTT4JX7LPPPMG,0.8387
579,R3FWRSZP75WOCW,-0.1154
580,R191WH42AV3H9I,0.0567
581,R25Q0OHXNG4GVO,0.6249
582,R2MUS5HPE1QSDI,0.6369
583,R21F3F21WFXS6C,0.0
584,R3GW9G2XXPRKY1,-0.033
585,R153JF7KLUNSBF,0.6696
586,R3Q7WN45Y0JDKA,0.7359
587,R46M0BTBOBJ4O,0.8519
588,R1ORQB4XEWZK4K,0.7783
589,R3ELNM193FDF5C,0.3321
590,R107ZK2WLLU4FV,0.296
591,R64Y35843DR5N,-0.2993
592,R1FZARZCSDR4VU,-0.8074
593,R1NZHJ46B5I9MA,0.0
594,R2KDK1959SGIQ0,0.7915
595,R3QXNWSPWEQG0R,0.5425
596,R1DMGT84YRTSNA,-0.6814
597,R29BTYDNA3TI8B,0.1593
598,RFUZTGQE9SFDD,0.765
599,R2KPOVLM11IDS7,0.5256
600,R13MX1MZPLD4W3,0.0094
601,R10G6H8KTST619,-0.2732
602,R28NXNGBEFKDO5,0.0
603,R3RKOYG3MDKY4H,0.9281
604,R3SJR1BQ4KQO0W,0.0
605,R2ZBZI2WPE0ZVX,-0.3412
606,R1U2DYO9LX98XN,0.4309
607,R3EPB9H7YXJZER,0.0
608,R1A0XOV107MHMN,0.0
609,R1LE8BYN317BU6,0.6784
610,R2SHXLY8HNAFYV,0.6369
611,R319YQQ8B5JRU5,0.8519
612,R3DOQ028N3XRHA,0.8316
613,R2YIG1WBEKIUJ4,0.9274
614,R2E1VJEKHS7A9,0.6249
615,R2OWXVFMBBBQNM,0.6369
616,R2OSIPDB8A34NR,0.8689
617,R3DC1FRZ3ET6ZL,0.6369
618,R391KQ41LYRDLK,0.5915
619,R18G9UXZY4J8EV,0.7964
620,R37I54UYJ7JMXG,0.8957
621,R2FH680QN0DD8R,0.7906
622,R1NVNC91Q6ZM8M,0.6864
623,R1EGKIW3FHDGAZ,-0.0516
624,R1Z9PCYGUK4EI2,0.9246
625,R2KPY4VU63MRI8,0.4926
626,R2ZO40X7YMTJ3S,0.7572
627,RYNBIV19CNV2N,0.6249
628,R304EUQCJTK174,0.6249
629,R23YCR0QO3F6GT,0.8494
630,R9H3Z2TI6HYHU,0.7876
631,RNJ5HSD62I2I1,0.4754
632,RQV0X4DFBEWGE,0.8582
633,R2WAD3ZD6W9D1E,0.743
634,RA81V2O5OOYX3,0.8122
635,R3R3Q5QWCVJQ3D,0.4215
636,R33XY8KSA6ABUE,0.3382
637,RLRYTXZSI20IE,0.5229
638,R2P62OKMI99UXH,-0.092
639,R1QZ05SA7PS52M,0.8519
640,R2EA9V49JTFNXA,0.8591
641,R1JE12MJ6VWVJP,0.6892
642,R1BL10LRFAVUT,0.8713
643,R15NHYIAP93FVM,0.4404
644,RMV7NHQ35DNAU,0.7902
645,R1YH547DPNXF82,0.9546
646,RK4BQJV718RT0,0.7579
647,R31AL0WY89G33,0.0
648,R2BBX8SGLKCCY0,-0.0516
649,RMW2VOQZZM7PG,0.6892
650,RDWLRMDCP86K0,0.0
651,R2JUZKJ5XP3JAG,0.5574
652,R2R2QULJPSDKL0,0.3867
653,R168RFZWIKNZ4H,0.6249
654,R1D9HFJ8ENN87E,0.0
655,R1I29VTCZAHKDL,0.9289
656,R1FF5VIA10I6EN,0.2382
657,R1SOTC0UUGK3P6,0.9812
658,R2RNF3NLQ5W1KA,0.9432
659,RD2XFNADGLAYG,0.4767
660,R2SAAOS6DVAV5Z,0.7003
661,R6BR2GP96QMTV,0.4404
662,R2RFOKZMB7FYP3,0.9685
663,R3RXBHYPMMXPMC,0.8271
664,R13BGP59662S1M,0.8155
